path,kind,bytes,sha256,direct_workflow_count,direct_workflows,provenance,technical
assets/comfyui-input/Backlot Shadows Ending pt-1.wav,audio,1700488,7128804fabc7f6c4937d38adf15b5b7a85f00c3ffc263c859afb0350e99aef07,3,08-ALPHA-T1_00087_.api.json;09-ALPHA-T1_00089_.api.json;10-ALPHA-T1_00093_.api.json,Prepared segment of the project Suno-generated music guide,audio=pcm_s16le 48000Hz ch=2; duration=8.835s
assets/comfyui-input/Backlot Shadows Ending pt-2.wav,audio,1353488,cae82d4dfe05c7a200c8b2ffa7104edac6cc1e0189f4179b0313a3e48e8f5f2e,3,08-ALPHA-T1_00087_.api.json;09-ALPHA-T1_00089_.api.json;10-ALPHA-T1_00093_.api.json,Prepared segment of the project Suno-generated music guide,audio=pcm_s16le 48000Hz ch=2; duration=7.028s
assets/comfyui-input/Backlot Shadows Ending pt-3.wav,audio,1604468,fb6c758534c45a106064ba6b882f59b49f741f8eeb534d61d5acf7f09195cd28,1,10-ALPHA-T1_00093_.api.json,Prepared segment of the project Suno-generated music guide,audio=pcm_s16le 48000Hz ch=2; duration=8.335s
assets/comfyui-input/Backlot Shadows s12 long.wav,audio,2832668,83bda1c01600daf305bc7a7e59eca54e413edaedac3c98b3d1fad107ccd41e04,2,01-ALPHA-T1_00007_.api.json;02-ALPHA-T1_00033_.api.json,Prepared segment of the project Suno-generated music guide,audio=pcm_s16le 48000Hz ch=2; duration=14.732s
assets/comfyui-input/Backlot-card1.png,image,1681196,0f697dd37c99542f628ce48a1aef9a055ef3710753f2232dbecdaf4cd78ccd4d,3,08-ALPHA-T1_00087_.api.json;09-ALPHA-T1_00089_.api.json;10-ALPHA-T1_00093_.api.json,AI-generated or AI-restored project reference image,video=png 1672x941 fps=25/1
assets/comfyui-input/Backlot-card2.png,image,1640793,dfdf4eac258d30188c69b463c258998ab4b809f4add9ad819918c267eed72b0a,3,08-ALPHA-T1_00087_.api.json;09-ALPHA-T1_00089_.api.json;10-ALPHA-T1_00093_.api.json,AI-generated or AI-restored project reference image,video=png 1672x941 fps=25/1
assets/comfyui-input/backlot-shadows-s4.wav,audio,1733780,83fd9c8c21cc88c810fc489d05babbdf8cd751e333e2ee040e4c2fd11a8376ab,2,30-MiniMax_H3_00046_.api.json;31-MiniMax_H3_00054_.api.json,Prepared segment of the project Suno-generated music guide,audio=pcm_s16le 48000Hz ch=2; duration=9.009s
assets/comfyui-input/director-s10b-anchor-v1.wav,audio,192078,99a96337d177c27ab9a94026d9deb2cad59edb3f614ef2f634af43d5f839b62a,1,22-Backlot_h3auto_s10b_the_ruined_take_interior_pairPOUND_t08_1056x608_00001_.api.json,Voice anchor extracted from a project H3 native-audio take,audio=pcm_s16le 48000Hz ch=1; duration=2.000s
assets/comfyui-input/film-world-look-frame.png,image,1388665,b4df00c4b72050b3f80b4993747387babe3a0ea7ab478bb0a3ab8188f4950d8b,4,01-ALPHA-T1_00007_.api.json;03-ALPHA-T1_00042_.api.json;04-ALPHA-T1_00043_.api.json;27-Backlot_h3auto_s2.5_run_through_the_backlot_t03_1056x608_00001_.api.json,AI-generated or AI-restored project reference image,video=png 1456x816 fps=25/1
assets/comfyui-input/first-assistant-s01-i2v-t08-anchor-v2.wav,audio,147278,48d9f05d74cc7a7f0e293ced8f6ce655a3e9501fe25c473dc8ea5ce77c00cfb4,1,12-Backlot_h3auto_s01_quiet_please_pairSLAM_t14_1280x704_00001_.api.json,Voice anchor extracted from a project H3 native-audio take,audio=pcm_s16le 32000Hz ch=1; duration=2.300s
assets/comfyui-input/foley-lead-A-sheet.png,image,2094534,55e9e3075bedadc60ccacb6b06c966b90ff31559e8cebc636009aefd82f2767f,11,02-ALPHA-T1_00033_.api.json;06-ALPHA-T1_00060_.api.json;07-ALPHA-T1_00079_.api.json;11-ALPHA-T1_00111_.api.json;12-Backlot_h3auto_s01_quiet_please_pairSLAM_t14_1280x704_00001_.api.json;13-Backlot_h3auto_s01_quiet_please_pairSLAM_t15_1280x704_00001_.api.json;17-Backlot_h3auto_s07_that_sounds_great_pairSCRAPE_t08_1056x608_00001_.api.json;22-Backlot_h3auto_s10b_the_ruined_take_interior_pairPOUND_t08_1056x608_00001_.api.json;23-Backlot_h3auto_s10b_the_ruined_take_interior_pairPOUND_t12_1056x608_00001_.api.json;28-Backlot_h3auto_s8.5_door_pounding_interior_foley_t07_1056x608_00001_.api.json;31-MiniMax_H3_00054_.api.json,AI-generated or AI-restored project reference image,video=png 1660x948 fps=25/1
assets/comfyui-input/foley-lead-B-s07-anchor-v1.wav,audio,259278,b9675a28496c2c08c31a31676c00e870a84ada99b13988d8185e26dcdbababfd,1,17-Backlot_h3auto_s07_that_sounds_great_pairSCRAPE_t08_1056x608_00001_.api.json,Voice anchor extracted from a project H3 native-audio take,audio=pcm_s16le 48000Hz ch=1; duration=2.700s
assets/comfyui-input/foley-lead-B-sheet.png,image,2265441,01dce31b2ef5a6f2fe2e3cce034b8649e97e6f3756d109ea477be866906519cb,9,02-ALPHA-T1_00033_.api.json;05-ALPHA-T1_00056_.api.json;06-ALPHA-T1_00060_.api.json;07-ALPHA-T1_00079_.api.json;12-Backlot_h3auto_s01_quiet_please_pairSLAM_t14_1280x704_00001_.api.json;13-Backlot_h3auto_s01_quiet_please_pairSLAM_t15_1280x704_00001_.api.json;17-Backlot_h3auto_s07_that_sounds_great_pairSCRAPE_t08_1056x608_00001_.api.json;22-Backlot_h3auto_s10b_the_ruined_take_interior_pairPOUND_t08_1056x608_00001_.api.json;31-MiniMax_H3_00054_.api.json,AI-generated or AI-restored project reference image,video=png 1672x941 fps=25/1
assets/comfyui-input/foley-stage-door-exterior-spatial-lock-v2.png,image,1662859,b6a16e27dcfceecff541a8dab55bfc998c76012a652ffe9924dc9ae6eaf39bcf,1,24-Backlot_h3auto_s11_red_light_off_pairDOOR_t09_1056x608_00001_.api.json,AI-generated or AI-restored project reference image,video=png 1672x941 fps=25/1
assets/comfyui-input/foley-stage-door-exterior-spatial-lock-v3-correct-handedness.png,image,1570688,c41b2fff5ab6542431b9bd93709e92ae362036f72dbd56d7081bf5e71510e9cc,3,20-Backlot_h3auto_s10a_let_me_in_exterior_pairPOUND_t11_1056x608_00001_.api.json;21-Backlot_h3auto_s10a_let_me_in_exterior_pairPOUND_t12_1056x608_00001_.api.json;25-Backlot_h3auto_s11_red_light_off_pairDOOR_t11_1056x608_00001_.api.json,AI-generated or AI-restored project reference image,video=png 1672x941 fps=25/1
assets/comfyui-input/foley-stage-interior-master-v1.png,image,2333327,80b6127cde52a18b542ba1b0607a630a542b88ec3a62e3014d49ffd554dc4b11,9,06-ALPHA-T1_00060_.api.json;11-ALPHA-T1_00111_.api.json;12-Backlot_h3auto_s01_quiet_please_pairSLAM_t14_1280x704_00001_.api.json;13-Backlot_h3auto_s01_quiet_please_pairSLAM_t15_1280x704_00001_.api.json;17-Backlot_h3auto_s07_that_sounds_great_pairSCRAPE_t08_1056x608_00001_.api.json;22-Backlot_h3auto_s10b_the_ruined_take_interior_pairPOUND_t08_1056x608_00001_.api.json;23-Backlot_h3auto_s10b_the_ruined_take_interior_pairPOUND_t12_1056x608_00001_.api.json;28-Backlot_h3auto_s8.5_door_pounding_interior_foley_t07_1056x608_00001_.api.json;31-MiniMax_H3_00054_.api.json,AI-generated or AI-restored project reference image,video=png 1679x937 fps=25/1
assets/comfyui-input/foley-stage-interior-reverse-entrance-v1-candidate.png,image,2016525,483b60056d4889a91010d338487209768ff2058f20136bfd3cb19a7b835690bb,1,26-Backlot_h3auto_s12_door_opens_exterior_bridge_exterior_pairFINALE_t21_1056x608_00001_.api.json,AI-generated or AI-restored project reference image,video=png 1672x941 fps=25/1
assets/comfyui-input/h3flag_b8c1a7e0_s02_openframe.png,image,2399446,6569109bfd0cad06fa2dc90fdda71eaaaa71c64f4addb8415ab3e40cb9388a9b,2,14-Backlot_h3auto_s02_girl_in_the_rainy_lot_pairSLAM_t14_1056x608_00001_.api.json;15-Backlot_h3auto_s02_girl_in_the_rainy_lot_pairSLAM_t16_1280x704_00001_.api.json,AI-generated or AI-restored project reference image,video=png 1625x941 fps=25/1
assets/comfyui-input/h3overnight_s07_openframe.png,image,2267767,5afa659fb10e0850c9e4fcde8e28abf7037413a1ba4f67554766882aef30d9d6,2,17-Backlot_h3auto_s07_that_sounds_great_pairSCRAPE_t08_1056x608_00001_.api.json;29-Backlot_h3auto_s07_that_sounds_great_pairSCRAPE_t06_960x544_00001_.api.json,AI-generated or AI-restored project reference image,video=png 1672x941 fps=25/1
assets/comfyui-input/h3overnight_s10b_openframe.png,image,2306927,5897c4f9ff0c6a60d147943a842998b1f55cc516f4e4654c925750cba0c63dac,1,22-Backlot_h3auto_s10b_the_ruined_take_interior_pairPOUND_t08_1056x608_00001_.api.json,AI-generated or AI-restored project reference image,video=png 1672x941 fps=25/1
