index,path,video_occurrences,audio_occurrences,workflow_format,api_workflow,ui_workflow,prompt,bytes,sha256,original_embedded_source_sha256,technical
1,media/final-sources/ALPHA-T1_00007_.mp4,1,1,ui+api,workflows/final-sources/workflows/api/01-ALPHA-T1_00007_.api.json,workflows/final-sources/workflows/ui/01-ALPHA-T1_00007_.workflow.json,workflows/final-sources/prompts/01-ALPHA-T1_00007_.txt,1717124,a29256c26c9c65ff259db7d7533675607938e84e5066aef28bb4bb2f97422e7d,829c41e1c4d09a4e9b19e09835ac53a692235f0b69e955bb8af12a8bef51ec3d,video=h264 1376x768 fps=24/1; audio=aac 32000Hz ch=2; duration=4.458s
2,media/final-sources/ALPHA-T1_00033_.mp4,1,1,ui+api,workflows/final-sources/workflows/api/02-ALPHA-T1_00033_.api.json,workflows/final-sources/workflows/ui/02-ALPHA-T1_00033_.workflow.json,workflows/final-sources/prompts/02-ALPHA-T1_00033_.txt,3092290,def4f850713a2d5f3339dfad347a8bd908bd73fd5c3cd47c01ec98602279c5f5,322242a91479041c3c802f2c0046efca2ae8d5dc1cb152e2ea5086ea1b15e059,video=h264 1056x608 fps=24/1; audio=aac 32000Hz ch=2; duration=9.417s
3,media/final-sources/ALPHA-T1_00042_.mp4,1,1,ui+api,workflows/final-sources/workflows/api/03-ALPHA-T1_00042_.api.json,workflows/final-sources/workflows/ui/03-ALPHA-T1_00042_.workflow.json,workflows/final-sources/prompts/03-ALPHA-T1_00042_.txt,1345127,5e6cb535b6a6b76c3612debfdc2ae047dccd1995113cc985fa2d3edc390e9a54,88d5642bcfbf7fb95e9c1768145394a6c7bc5ce9af06cfe886d2da80d0e0f345,video=h264 1056x608 fps=24/1; audio=aac 32000Hz ch=2; duration=6.583s
4,media/final-sources/ALPHA-T1_00043_.mp4,1,1,ui+api,workflows/final-sources/workflows/api/04-ALPHA-T1_00043_.api.json,workflows/final-sources/workflows/ui/04-ALPHA-T1_00043_.workflow.json,workflows/final-sources/prompts/04-ALPHA-T1_00043_.txt,2215520,a3bb84f2a76b8043eb3696284cba12a69c022708a3b7b9706c85cd83402f0a55,b8512586bb87bd1844035f4b59cfcd7b9b6596071f60d050ddead6a56c159a5b,video=h264 1056x608 fps=24/1; audio=aac 32000Hz ch=2; duration=6.583s
5,media/final-sources/ALPHA-T1_00056_.mp4,2,2,ui+api,workflows/final-sources/workflows/api/05-ALPHA-T1_00056_.api.json,workflows/final-sources/workflows/ui/05-ALPHA-T1_00056_.workflow.json,workflows/final-sources/prompts/05-ALPHA-T1_00056_.txt,1016021,d0a29d457e303a75e42a537d0fdd44d6538bb00bdbf028bb29d3cefdc9fd375c,1d844efd00205117e08164ddf5e717e64681c4e72067b4641c1d5399539d53b4,video=h264 1216x672 fps=24/1; audio=aac 32000Hz ch=2; duration=6.583s
6,media/final-sources/ALPHA-T1_00060_.mp4,1,1,ui+api,workflows/final-sources/workflows/api/06-ALPHA-T1_00060_.api.json,workflows/final-sources/workflows/ui/06-ALPHA-T1_00060_.workflow.json,workflows/final-sources/prompts/06-ALPHA-T1_00060_.txt,934825,2b36222a4f0e7cb413226ee8f1e39708986b3f9ade0f26bff2a34f18076d19de,7377b77129ec0f93b144058efe4d1ffcecc47cc848ecb3aaf298f4b00b4ad8d4,video=h264 1216x672 fps=24/1; audio=aac 32000Hz ch=2; duration=5.167s
7,media/final-sources/ALPHA-T1_00079_.mp4,1,1,ui+api,workflows/final-sources/workflows/api/07-ALPHA-T1_00079_.api.json,workflows/final-sources/workflows/ui/07-ALPHA-T1_00079_.workflow.json,workflows/final-sources/prompts/07-ALPHA-T1_00079_.txt,1889137,0a7a7b17512b08280fee541fa4d000823652f1fff641a2da810349c04ecf70c9,0340286a2a9e2792a4d04c746f8f3743ee34130fd7aa6f4b3275164b370e097d,video=h264 1056x608 fps=24/1; audio=aac 32000Hz ch=2; duration=5.167s
8,media/final-sources/ALPHA-T1_00087_.mp4,1,1,ui+api,workflows/final-sources/workflows/api/08-ALPHA-T1_00087_.api.json,workflows/final-sources/workflows/ui/08-ALPHA-T1_00087_.workflow.json,workflows/final-sources/prompts/08-ALPHA-T1_00087_.txt,814426,a68e3f2fe54967e9f38ce112e193c914590c45c3081cb62a8caa42f47ddd9006,0f527e82cb9a0523799647f57eb1fcbfee05d6212d4ad618e28d079a5fe0eb93,video=h264 1216x672 fps=24/1; audio=aac 32000Hz ch=2; duration=6.583s
9,media/final-sources/ALPHA-T1_00089_.mp4,1,1,ui+api,workflows/final-sources/workflows/api/09-ALPHA-T1_00089_.api.json,workflows/final-sources/workflows/ui/09-ALPHA-T1_00089_.workflow.json,workflows/final-sources/prompts/09-ALPHA-T1_00089_.txt,976540,088187daeb983c8e402fdecd978e4361e065f202dfe27a914ead354a48ed7340,86e89db97fb9bead478f0422a9f9f161ba33a7070b451d6a75f85cada2f7c929,video=h264 1216x672 fps=24/1; audio=aac 32000Hz ch=2; duration=6.583s
10,media/final-sources/ALPHA-T1_00093_.mp4,1,1,ui+api,workflows/final-sources/workflows/api/10-ALPHA-T1_00093_.api.json,workflows/final-sources/workflows/ui/10-ALPHA-T1_00093_.workflow.json,workflows/final-sources/prompts/10-ALPHA-T1_00093_.txt,1321122,ac46cc72a19167bf43ac955bd08f54949f71e51e8c5a7492dcc26393ad5a645c,08a637fe001192c8dc758d6bd9a102257a9ae348aca27838509c283b8c5fba1d,video=h264 1216x672 fps=24/1; audio=aac 32000Hz ch=2; duration=8.000s
11,media/final-sources/ALPHA-T1_00111_.mp4,1,1,ui+api,workflows/final-sources/workflows/api/11-ALPHA-T1_00111_.api.json,workflows/final-sources/workflows/ui/11-ALPHA-T1_00111_.workflow.json,workflows/final-sources/prompts/11-ALPHA-T1_00111_.txt,501571,bdd1f9904e54a06398f053d55be369ad36595bb85efc403def621c003f2f4a54,00b28aed67ba70855f1b0144ccc1b0224001a8a88c809424a5d6445ff16510e7,video=h264 1056x608 fps=24/1; audio=aac 32000Hz ch=2; duration=3.042s
12,media/final-sources/Backlot_h3auto_s01_quiet_please_pairSLAM_t14_1280x704_00001_.mp4,1,1,api-only,workflows/final-sources/workflows/api/12-Backlot_h3auto_s01_quiet_please_pairSLAM_t14_1280x704_00001_.api.json,,workflows/final-sources/prompts/12-Backlot_h3auto_s01_quiet_please_pairSLAM_t14_1280x704_00001_.txt,1492392,60fca3be254c7e49e54eaa8fbf2429b3368042a835c9064648413aa2f6c2182c,3e9db24a29358e84206b34888126219400b020f94e854a5a0ff40be7bdf00e62,video=h264 1280x704 fps=24/1; audio=aac 32000Hz ch=2; duration=7.292s
13,media/final-sources/Backlot_h3auto_s01_quiet_please_pairSLAM_t15_1280x704_00001_.mp4,1,1,api-only,workflows/final-sources/workflows/api/13-Backlot_h3auto_s01_quiet_please_pairSLAM_t15_1280x704_00001_.api.json,,workflows/final-sources/prompts/13-Backlot_h3auto_s01_quiet_please_pairSLAM_t15_1280x704_00001_.txt,1904611,b59e1bc5f2d2c855dbdd9df2cd440736ed6ef094fa453e8885af0c0f51d7e6dc,307160ef476d0b462143f90a44ee292755162c028a8e5ba2e46d5c4c1f4f0a34,video=h264 1280x704 fps=24/1; audio=aac 32000Hz ch=2; duration=7.292s
14,media/final-sources/Backlot_h3auto_s02_girl_in_the_rainy_lot_pairSLAM_t14_1056x608_00001_.mp4,1,1,api-only,workflows/final-sources/workflows/api/14-Backlot_h3auto_s02_girl_in_the_rainy_lot_pairSLAM_t14_1056x608_00001_.api.json,,workflows/final-sources/prompts/14-Backlot_h3auto_s02_girl_in_the_rainy_lot_pairSLAM_t14_1056x608_00001_.txt,1855492,c198ec1390307660ec98bb74b1d04340cbcfda2746df260a7aa4d7235e0ffa3c,3cc2b6993925b392ec5f9e6cd07278e1d2a9e9b6011d9ce3b952c6fa8331a2e3,video=h264 1056x608 fps=24/1; audio=aac 32000Hz ch=2; duration=6.583s
15,media/final-sources/Backlot_h3auto_s02_girl_in_the_rainy_lot_pairSLAM_t16_1280x704_00001_.mp4,3,3,api-only,workflows/final-sources/workflows/api/15-Backlot_h3auto_s02_girl_in_the_rainy_lot_pairSLAM_t16_1280x704_00001_.api.json,,workflows/final-sources/prompts/15-Backlot_h3auto_s02_girl_in_the_rainy_lot_pairSLAM_t16_1280x704_00001_.txt,1248672,7934b26207327e25197a771af4ceccbcd640450cca417ec3edf0bf653a43eefa,3e7768dc4a493812bd7cad0e66dddede226085c8547ec7e3ab54b1951dd48e70,video=h264 1280x704 fps=24/1; audio=aac 32000Hz ch=2; duration=5.167s
16,media/final-sources/Backlot_h3auto_s06_the_assailant_waist_down_pairSCRAPE_t10_1056x608_00001_.mp4,8,6,api-only,workflows/final-sources/workflows/api/16-Backlot_h3auto_s06_the_assailant_waist_down_pairSCRAPE_t10_1056x608_00001_.api.json,,workflows/final-sources/prompts/16-Backlot_h3auto_s06_the_assailant_waist_down_pairSCRAPE_t10_1056x608_00001_.txt,1743814,1796fc8b4e24ea302f0ba29e5dd06bf9ebf0bb03fb9f571e25f982dff3e89a8b,b3915d84e880a66ec2997a61e222d00c7d4cec401c8a97754aab0f83e7f34fca,video=h264 1056x608 fps=24/1; audio=aac 32000Hz ch=2; duration=7.292s
17,media/final-sources/Backlot_h3auto_s07_that_sounds_great_pairSCRAPE_t08_1056x608_00001_.mp4,1,1,api-only,workflows/final-sources/workflows/api/17-Backlot_h3auto_s07_that_sounds_great_pairSCRAPE_t08_1056x608_00001_.api.json,,workflows/final-sources/prompts/17-Backlot_h3auto_s07_that_sounds_great_pairSCRAPE_t08_1056x608_00001_.txt,2228273,2dbd99de94da5714b40f61848a276ea739ff6175d565ea13fe18a9f74189f3a7,eb01d1a269a0025a387cce1dfec2aa8fa6cb3e79679263588c1c7d5ede44b4e6,video=h264 1056x608 fps=24/1; audio=aac 32000Hz ch=2; duration=9.417s
