status,item_name,video_track,video_timeline_start_frame,video_duration_frames,video_source_in_frame,video_sync_origin_frame,matched_audio_track,audio_timeline_start_frame,audio_duration_frames,audio_source_in_frame,audio_sync_origin_frame,source_offset_delta_frames,source_offset_delta_seconds,video_frames_covered_by_same_source_aligned_audio,crossfade_edge_handoff_frames,video_frames_covered_by_any_native_audio,video_frames_without_native_audio,media_path
PASS_SYNCED_FULL_COVERAGE,Backlot_h3auto_s02_girl_in_the_rainy_lot_pairSLAM_t16_1280x704_00001_.mp4,2,86400.0,16.0,0.0,86400.0,2,86400.0,22.0,0.0,86400.0,0.0,0.0,16.0,0.0,16.0,0.0,media/final-sources/Backlot_h3auto_s02_girl_in_the_rainy_lot_pairSLAM_t16_1280x704_00001_.mp4
PASS_SYNCED_FULL_COVERAGE,ALPHA-T1_00111_.mp4,1,86416.0,31.0,16.0,86400.0,1,86400.0,66.0,0.0,86400.0,0.0,0.0,31.0,0.0,31.0,0.0,media/final-sources/ALPHA-T1_00111_.mp4
PASS_SYNCED_FULL_COVERAGE,Backlot_h3auto_s02_girl_in_the_rainy_lot_pairSLAM_t16_1280x704_00001_.mp4,2,86447.0,19.0,3.0,86444.0,2,86444.0,22.0,0.0,86444.0,0.0,0.0,19.0,0.0,19.0,0.0,media/final-sources/Backlot_h3auto_s02_girl_in_the_rainy_lot_pairSLAM_t16_1280x704_00001_.mp4
PASS_SYNCED_FULL_COVERAGE,Backlot_h3auto_s01_quiet_please_pairSLAM_t14_1280x704_00001_.mp4,1,86466.0,21.0,66.0,86400.0,1,86466.0,98.0,66.0,86400.0,0.0,0.0,21.0,0.0,21.0,0.0,media/final-sources/Backlot_h3auto_s01_quiet_please_pairSLAM_t14_1280x704_00001_.mp4
PASS_SYNCED_FULL_COVERAGE,Backlot_h3auto_s02_girl_in_the_rainy_lot_pairSLAM_t16_1280x704_00001_.mp4,2,86487.0,77.0,24.0,86463.0,2,86467.0,118.0,4.0,86463.0,0.0,0.0,77.0,0.0,77.0,0.0,media/final-sources/Backlot_h3auto_s02_girl_in_the_rainy_lot_pairSLAM_t16_1280x704_00001_.mp4
PASS_SYNCED_FULL_COVERAGE,MiniMax_H3_00054_.mp4,1,86564.0,34.0,61.0,86503.0,1,86564.0,62.0,61.0,86503.0,0.0,0.0,34.0,0.0,34.0,0.0,media/final-sources/MiniMax_H3_00054_.mp4
PASS_SYNCED_FULL_COVERAGE,Backlot_h3auto_s2.5_run_through_the_backlot_t03_1056x608_00001_.mp4,2,86598.0,38.0,14.0,86584.0,2,86585.0,174.0,1.0,86584.0,0.0,0.0,38.0,0.0,38.0,0.0,media/final-sources/Backlot_h3auto_s2.5_run_through_the_backlot_t03_1056x608_00001_.mp4
PASS_SYNCED_FULL_COVERAGE,Backlot_h3auto_s07_that_sounds_great_pairSCRAPE_t06_960x544_00001_.mp4,1,86636.0,21.0,0.0,86636.0,1,86636.0,21.0,0.0,86636.0,0.0,0.0,21.0,0.0,21.0,0.0,media/final-sources/Backlot_h3auto_s07_that_sounds_great_pairSCRAPE_t06_960x544_00001_.mp4
PASS_SYNCED_FULL_COVERAGE,Backlot_h3auto_s2.5_run_through_the_backlot_t03_1056x608_00001_.mp4,2,86657.0,43.0,73.0,86584.0,2,86585.0,174.0,1.0,86584.0,0.0,0.0,43.0,0.0,43.0,0.0,media/final-sources/Backlot_h3auto_s2.5_run_through_the_backlot_t03_1056x608_00001_.mp4
PASS_SYNCED_FULL_COVERAGE,MiniMax_H3_00054_.mp4,1,86700.0,26.0,6.0,86694.0,1,86700.0,59.0,6.0,86694.0,0.0,0.0,26.0,0.0,26.0,0.0,media/final-sources/MiniMax_H3_00054_.mp4
