index,item_name,video_occurrences,audio_occurrences,workflow_format,ui_workflow_file,api_workflow_file,prompt_file,source_sha256
1,ALPHA-T1_00007_.mp4,1,1,ui+api,workflows/ui/01-ALPHA-T1_00007_.workflow.json,workflows/api/01-ALPHA-T1_00007_.api.json,prompts/01-ALPHA-T1_00007_.txt,829c41e1c4d09a4e9b19e09835ac53a692235f0b69e955bb8af12a8bef51ec3d
2,ALPHA-T1_00033_.mp4,1,1,ui+api,workflows/ui/02-ALPHA-T1_00033_.workflow.json,workflows/api/02-ALPHA-T1_00033_.api.json,prompts/02-ALPHA-T1_00033_.txt,322242a91479041c3c802f2c0046efca2ae8d5dc1cb152e2ea5086ea1b15e059
3,ALPHA-T1_00042_.mp4,1,1,ui+api,workflows/ui/03-ALPHA-T1_00042_.workflow.json,workflows/api/03-ALPHA-T1_00042_.api.json,prompts/03-ALPHA-T1_00042_.txt,88d5642bcfbf7fb95e9c1768145394a6c7bc5ce9af06cfe886d2da80d0e0f345
4,ALPHA-T1_00043_.mp4,1,1,ui+api,workflows/ui/04-ALPHA-T1_00043_.workflow.json,workflows/api/04-ALPHA-T1_00043_.api.json,prompts/04-ALPHA-T1_00043_.txt,b8512586bb87bd1844035f4b59cfcd7b9b6596071f60d050ddead6a56c159a5b
5,ALPHA-T1_00056_.mp4,2,2,ui+api,workflows/ui/05-ALPHA-T1_00056_.workflow.json,workflows/api/05-ALPHA-T1_00056_.api.json,prompts/05-ALPHA-T1_00056_.txt,1d844efd00205117e08164ddf5e717e64681c4e72067b4641c1d5399539d53b4
6,ALPHA-T1_00060_.mp4,1,1,ui+api,workflows/ui/06-ALPHA-T1_00060_.workflow.json,workflows/api/06-ALPHA-T1_00060_.api.json,prompts/06-ALPHA-T1_00060_.txt,7377b77129ec0f93b144058efe4d1ffcecc47cc848ecb3aaf298f4b00b4ad8d4
7,ALPHA-T1_00079_.mp4,1,1,ui+api,workflows/ui/07-ALPHA-T1_00079_.workflow.json,workflows/api/07-ALPHA-T1_00079_.api.json,prompts/07-ALPHA-T1_00079_.txt,0340286a2a9e2792a4d04c746f8f3743ee34130fd7aa6f4b3275164b370e097d
8,ALPHA-T1_00087_.mp4,1,1,ui+api,workflows/ui/08-ALPHA-T1_00087_.workflow.json,workflows/api/08-ALPHA-T1_00087_.api.json,prompts/08-ALPHA-T1_00087_.txt,0f527e82cb9a0523799647f57eb1fcbfee05d6212d4ad618e28d079a5fe0eb93
9,ALPHA-T1_00089_.mp4,1,1,ui+api,workflows/ui/09-ALPHA-T1_00089_.workflow.json,workflows/api/09-ALPHA-T1_00089_.api.json,prompts/09-ALPHA-T1_00089_.txt,86e89db97fb9bead478f0422a9f9f161ba33a7070b451d6a75f85cada2f7c929
10,ALPHA-T1_00093_.mp4,1,1,ui+api,workflows/ui/10-ALPHA-T1_00093_.workflow.json,workflows/api/10-ALPHA-T1_00093_.api.json,prompts/10-ALPHA-T1_00093_.txt,08a637fe001192c8dc758d6bd9a102257a9ae348aca27838509c283b8c5fba1d
